SmellNumber,Orig_TestCases,Orig_Smells,Orig_SLOC_Physical,Orig_SLOC_Logical,Orig_Cyclomatic,Orig_CyclomaticDensity,Orig_Halstead_Bugs,Orig_Halstead_Difficulty,Orig_Halstead_Effort,Orig_Halstead_Length,Orig_Halstead_Time,Orig_Halstead_Vocabulary,Orig_Halstead_Volume,Orig_Maintainability,Refac_TestCases,Refac_Smells,Refac_SLOC_Physical,Refac_SLOC_Logical,Refac_Cyclomatic,Refac_CyclomaticDensity,Refac_Halstead_Bugs,Refac_Halstead_Difficulty,Refac_Halstead_Effort,Refac_Halstead_Length,Refac_Halstead_Time,Refac_Halstead_Vocabulary,Refac_Halstead_Volume,Refac_Maintainability
99,0,0,163,173,11,6.358,1.597,29.149,139687.9,767,7760.439,76,4792.16,94.046,0,0,158,165,11,6.667,1.523,27.265,124558.465,729,6919.915,77,4568.487,95.205
98,0,0,163,173,11,6.358,1.597,29.149,139687.9,767,7760.439,76,4792.16,94.046,0,0,158,165,11,6.667,1.523,27.265,124558.465,729,6919.915,77,4568.487,95.205
97,0,0,163,173,11,6.358,1.597,29.149,139687.9,767,7760.439,76,4792.16,94.046,0,0,158,165,11,6.667,1.523,27.265,124558.465,729,6919.915,77,4568.487,95.205
96,0,0,163,173,11,6.358,1.597,29.149,139687.9,767,7760.439,76,4792.16,94.046,0,0,158,165,11,6.667,1.523,27.265,124558.465,729,6919.915,77,4568.487,95.205
95,0,0,49,61,10,16.393,0.473,9.9,14040.968,227,780.054,76,1418.28,112.319,0,0,49,61,10,16.393,0.477,9.9,14164.676,229,786.926,76,1430.775,112.289
94,0,0,88,89,8,8.989,0.689,9.54,19707.947,313,1094.886,97,2065.773,105.263,0,0,91,91,8,8.791,0.709,9.551,20323.82,321,1129.101,99,2128.023,104.798
93,0,0,88,89,8,8.989,0.689,9.54,19707.947,313,1094.886,97,2065.773,105.263,0,0,91,91,8,8.791,0.709,9.551,20323.82,321,1129.101,99,2128.023,104.798
92,0,0,120,178,17,9.551,1.406,14.338,60471.941,585,3359.552,148,4217.53,104.989,0,0,124,181,17,9.392,1.44,14.288,61742.134,597,3430.119,151,4321.328,104.647
91,0,0,120,178,17,9.551,1.406,14.338,60471.941,585,3359.552,148,4217.53,104.989,0,0,123,180,17,9.444,1.429,14.304,61318.297,593,3406.572,150,4286.689,104.76
90,0,0,120,178,17,9.551,1.406,14.338,60471.941,585,3359.552,148,4217.53,104.989,0,0,120,177,17,9.605,1.396,14.102,59047.529,580,3280.418,149,4187.118,105.162
