Name,Percentage,Test Framewok,License
bigbluebutton/bigbluebutton,40.01%,no framework test,GNU Lesser General Public License v3.0
grpc/grpc-web,52.93%,no framework test,Apache License 2.0
cockpit-project/cockpit,35.94%,no framework test,GNU Lesser General Public License v2.1
4ian/gdevelop,56.53%,no framework test,Other
projectdiscovery/nuclei-templates,100.00%,no framework test,MIT License
jesse-ai/jesse,88.24%,no framework test,MIT License
mobsf/mobile-security-framework-mobsf,37.81%,no framework test,GNU General Public License v3.0
phaserjs/phaser,99.52%,no framework test,MIT License
expo/create-react-native-app,100.00%,jest,"BSD 3-Clause ""New"" or ""Revised"" License"
bitcoinjs/bitcoinjs-lib,51.17%,mocha,MIT License
thedevs-network/kutt,45.61%,no framework test,MIT License
browserslist/browserslist,100.00%,no framework test,MIT License
foundry376/mailspring,41.83%,no framework test,GNU General Public License v3.0
sveltejs/svelte,72.08%,no framework test,MIT License
hotwired/turbo,99.96%,no framework test,MIT License
xifangczy/cat-catch,83.28%,no framework test,GNU General Public License v3.0
moox/postcss-cssnext,71.33%,no framework test,MIT License
umdjs/umd,100.00%,no framework test,MIT License
jaredreich/pell,73.31%,no framework test,MIT License
square/crossfilter,92.64%,no framework test,Other
ecomfe/fontmin,92.84%,mocha,MIT License
erikras/react-redux-universal-hot-example,86.00%,mocha,MIT License
gotwarlost/istanbul,97.90%,no framework test,Other
cteamx/thief,68.68%,no framework test,GNU General Public License v3.0
shutterstock/rickshaw,88.66%,jest,MIT License
jashkenas/backbone,56.34%,no framework test,MIT License
chaozh/awesome-blockchain-cn,100.00%,no framework test,Apache License 2.0
lebab/lebab,100.00%,mocha,MIT License
fantasyland/fantasy-land,68.64%,no framework test,MIT License
alexlenail/nn-svg,58.42%,no framework test,MIT License
wagerfield/parallax,100.00%,no framework test,Other
dylang/npm-check,100.00%,no framework test,MIT License
standard-things/esm,99.87%,jest,Other
krasimir/react-in-patterns,95.26%,no framework test,MIT License
lukeed/clsx,97.50%,no framework test,MIT License
fabiospampinato/cash,59.30%,no framework test,MIT License
dimsemenov/magnific-popup,67.88%,no framework test,MIT License
google/traceur-compiler,98.98%,mocha,Apache License 2.0
kristories/awesome-guidelines,100.00%,no framework test,Creative Commons Zero v1.0 Universal
mapbox/pixelmatch,100.00%,no framework test,ISC License
elsewhencode/project-guidelines,100.00%,no framework test,MIT License
js-cookie/js-cookie,95.15%,no framework test,MIT License
gruntjs/grunt,100.00%,no framework test,Other
paveldogreat/webgl-fluid-simulation,88.50%,no framework test,MIT License
aemkei/jsfuck,72.55%,no framework test,Do What The F*ck You Want To Public License
dylang/shortid,96.55%,mocha,Other
lukeed/polka,100.00%,no framework test,MIT License
