A (filename),B (test),C (start: ... end: ....)
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/restore.test.js,"  beforeEach(() => {
    outerDiv.appendChild((video = document.createElement(""video"")));
    //JSDOM doesn't have the video.load() method, need to mock it
    video.load = () => {
    };
  });",start: 334 end: 339
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/cancelOnExit.test.js,"  test(""Resets internal status"", () => {
    img.setAttribute(""src"", url200);
    setSources(img, settings, instance);
    cancelLoading(img, entry, settings, instance);
    expect(getStatus(img)).toBe(null);
  });",start: 87 end: 92
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/cancelOnExit.test.js,"  test(""Restores original attributes"", () => {
    img.setAttribute(""src"", url1);
    img.setAttribute(""data-src"", url100);
    img.setAttribute(""data-srcset"", url200);
    img.setAttribute(""data-sizes"", sizes100);
    setSources(img, settings, instance);
    cancelLoading(img, entry, settings, instance);
    expect(img).toHaveAttribute(""src"", url1);
    expect(img).not.toHaveAttribute(""srcset"");
    expect(img).not.toHaveAttribute(""sizes"");
  });",start: 61 end: 71
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/cancelOnExit.test.js,"  test(""Restores original attributes"", () => {
    img.setAttribute(""src"", url1);
    img.setAttribute(""data-src"", url100);
    img.setAttribute(""data-srcset"", url200);
    img.setAttribute(""data-sizes"", sizes100);
    setSources(img, settings, instance);
    cancelLoading(img, entry, settings, instance);
    expect(img).toHaveAttribute(""src"", url1);
    expect(img).not.toHaveAttribute(""srcset"");
    expect(img).not.toHaveAttribute(""sizes"");
  });",start: 61 end: 71
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/cancelOnExit.test.js,"  test(""Restores original attributes"", () => {
    img.setAttribute(""src"", url1);
    img.setAttribute(""data-src"", url100);
    img.setAttribute(""data-srcset"", url200);
    img.setAttribute(""data-sizes"", sizes100);
    setSources(img, settings, instance);
    cancelLoading(img, entry, settings, instance);
    expect(img).toHaveAttribute(""src"", url1);
    expect(img).not.toHaveAttribute(""srcset"");
    expect(img).not.toHaveAttribute(""sizes"");
  });",start: 61 end: 71
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/cancelOnExit.test.js,"  test(""Callbacks are called"", () => {
    const cancelCb = jest.fn();
    settings.callback_cancel = cancelCb;
    setSources(img, settings, instance);
    cancelLoading(img, entry, settings, instance);
    expect(cancelCb).toHaveBeenCalledTimes(1);
    expect(cancelCb).toHaveBeenCalledWith(img, entry, instance);
  });",start: 94 end: 101
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/cancelOnExit.test.js,"  test(""Callbacks are called"", () => {
    const cancelCb = jest.fn();
    settings.callback_cancel = cancelCb;
    setSources(img, settings, instance);
    cancelLoading(img, entry, settings, instance);
    expect(cancelCb).toHaveBeenCalledTimes(1);
    expect(cancelCb).toHaveBeenCalledWith(img, entry, instance);
  });",start: 94 end: 101
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/cancelOnExit.test.js,"  test(""Decreases loading count"", () => {
    img.setAttribute(""src"", url200);
    setSources(img, settings, instance);
    cancelLoading(img, entry, settings, instance);
    expect(instance.loadingCount).toBe(0);
  });",start: 80 end: 85
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/set.test.js,"  test('decreaseToLoadCount decreases toLoadCount by 1', () => {
    const mockInstance = { toLoadCount: 5 };
    decreaseToLoadCount(mockInstance);
    expect(mockInstance.toLoadCount).toBe(4);
  });",start: 26 end: 30
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/set.test.js,"  test('setToLoadCount sets toLoadCount to the given value', () => {
    const mockInstance = {};
    setToLoadCount(mockInstance, 10);
    expect(mockInstance.toLoadCount).toBe(10);
  });",start: 32 end: 36
/home/gabriel/Desktop/research/projects/ncc/test/watcher.test.js,"it('Should support custom watch API', async () => {
  let buildCnt = 0;
  const buildFile = path.resolve('./test/integration/twilio.js');
  const initialBuildFileContents = fs.readFileSync(buildFile).toString();

  await new Promise((resolve, reject) => {
    const watcher = new CustomWatchFileSystem(function watchStart (files, dirs, missing) {
      expect(files._set.size).toBeGreaterThan(100);
      if (buildCnt < 3) {
        setTimeout(() => {
          // NOTE: We actually have to make the change for the rebuild to happen!
          fs.writeFileSync(buildFile, fs.readFileSync(buildFile).toString() + '\n');
          watcher.triggerChanges([buildFile], []);
        }, 100);
      }
    }, function watchEnd () {
      resolve();
    });

    console.time('First Build');
    const { handler, rebuild, close } = ncc(buildFile, {
      assetBuilds: true,
      watch: watcher
    });
    
    handler(({ err, code, map, assets, permissions }) => {
      if (err) return reject(err);
      buildCnt++;
      if (buildCnt === 1) {
        console.timeEnd('First Build');
      }
      else {
        console.timeEnd('Watched Build');
      }
      if (buildCnt === 3) {
        close();
        fs.writeFileSync(buildFile, fs.readFileSync(buildFile).toString().slice(0, -2));
      }
    });
    rebuild(() => {
      console.time('Watched Build');
    });
  });

  fs.writeFileSync(buildFile, initialBuildFileContents);
});",start: 112 end: 157
/home/gabriel/Desktop/research/projects/ncc/test/watcher.test.js,"it('Should support custom watch API', async () => {
  let buildCnt = 0;
  const buildFile = path.resolve('./test/integration/twilio.js');
  const initialBuildFileContents = fs.readFileSync(buildFile).toString();

  await new Promise((resolve, reject) => {
    const watcher = new CustomWatchFileSystem(function watchStart (files, dirs, missing) {
      expect(files._set.size).toBeGreaterThan(100);
      if (buildCnt < 3) {
        setTimeout(() => {
          // NOTE: We actually have to make the change for the rebuild to happen!
          fs.writeFileSync(buildFile, fs.readFileSync(buildFile).toString() + '\n');
          watcher.triggerChanges([buildFile], []);
        }, 100);
      }
    }, function watchEnd () {
      resolve();
    });

    console.time('First Build');
    const { handler, rebuild, close } = ncc(buildFile, {
      assetBuilds: true,
      watch: watcher
    });
    
    handler(({ err, code, map, assets, permissions }) => {
      if (err) return reject(err);
      buildCnt++;
      if (buildCnt === 1) {
        console.timeEnd('First Build');
      }
      else {
        console.timeEnd('Watched Build');
      }
      if (buildCnt === 3) {
        close();
        fs.writeFileSync(buildFile, fs.readFileSync(buildFile).toString().slice(0, -2));
      }
    });
    rebuild(() => {
      console.time('Watched Build');
    });
  });

  fs.writeFileSync(buildFile, initialBuildFileContents);
});",start: 112 end: 157
/home/gabriel/Desktop/research/projects/ncc/test/watcher.test.js,"it('Should support custom watch API', async () => {
  let buildCnt = 0;
  const buildFile = path.resolve('./test/integration/twilio.js');
  const initialBuildFileContents = fs.readFileSync(buildFile).toString();

  await new Promise((resolve, reject) => {
    const watcher = new CustomWatchFileSystem(function watchStart (files, dirs, missing) {
      expect(files._set.size).toBeGreaterThan(100);
      if (buildCnt < 3) {
        setTimeout(() => {
          // NOTE: We actually have to make the change for the rebuild to happen!
          fs.writeFileSync(buildFile, fs.readFileSync(buildFile).toString() + '\n');
          watcher.triggerChanges([buildFile], []);
        }, 100);
      }
    }, function watchEnd () {
      resolve();
    });

    console.time('First Build');
    const { handler, rebuild, close } = ncc(buildFile, {
      assetBuilds: true,
      watch: watcher
    });
    
    handler(({ err, code, map, assets, permissions }) => {
      if (err) return reject(err);
      buildCnt++;
      if (buildCnt === 1) {
        console.timeEnd('First Build');
      }
      else {
        console.timeEnd('Watched Build');
      }
      if (buildCnt === 3) {
        close();
        fs.writeFileSync(buildFile, fs.readFileSync(buildFile).toString().slice(0, -2));
      }
    });
    rebuild(() => {
      console.time('Watched Build');
    });
  });

  fs.writeFileSync(buildFile, initialBuildFileContents);
});",start: 112 end: 157
/home/gabriel/Desktop/research/projects/ncc/test/watcher.test.js,"it('Should support custom watch API', async () => {
  let buildCnt = 0;
  const buildFile = path.resolve('./test/integration/twilio.js');
  const initialBuildFileContents = fs.readFileSync(buildFile).toString();

  await new Promise((resolve, reject) => {
    const watcher = new CustomWatchFileSystem(function watchStart (files, dirs, missing) {
      expect(files._set.size).toBeGreaterThan(100);
      if (buildCnt < 3) {
        setTimeout(() => {
          // NOTE: We actually have to make the change for the rebuild to happen!
          fs.writeFileSync(buildFile, fs.readFileSync(buildFile).toString() + '\n');
          watcher.triggerChanges([buildFile], []);
        }, 100);
      }
    }, function watchEnd () {
      resolve();
    });

    console.time('First Build');
    const { handler, rebuild, close } = ncc(buildFile, {
      assetBuilds: true,
      watch: watcher
    });
    
    handler(({ err, code, map, assets, permissions }) => {
      if (err) return reject(err);
      buildCnt++;
      if (buildCnt === 1) {
        console.timeEnd('First Build');
      }
      else {
        console.timeEnd('Watched Build');
      }
      if (buildCnt === 3) {
        close();
        fs.writeFileSync(buildFile, fs.readFileSync(buildFile).toString().slice(0, -2));
      }
    });
    rebuild(() => {
      console.time('Watched Build');
    });
  });

  fs.writeFileSync(buildFile, initialBuildFileContents);
});",start: 112 end: 157
