Name,JavaScript Percentage,Test Framework,License,Open Source
bigbluebutton,40.01%,no framework test,GNU Lesser General Public License v3.0,Yes
grpc-web,52.93%,no framework test,Apache License 2.0,Yes
cockpit,35.94%,no framework test,GNU Lesser General Public License v2.1,Yes
gdevelop,56.53%,no framework test,Other,No
nuclei-templates,100.00%,no framework test,MIT License,Yes
jesse,88.24%,no framework test,MIT License,Yes
mobile-security-framework-mobsf,37.81%,no framework test,GNU General Public License v3.0,Yes
phaser,99.52%,no framework test,MIT License,Yes
create-react-native-app,100.00%,jest,"BSD 3-Clause ""New"" or ""Revised"" License",Yes
bitcoinjs-lib,51.17%,mocha,MIT License,Yes
kutt,45.61%,no framework test,MIT License,Yes
browserslist,100.00%,no framework test,MIT License,Yes
mailspring,41.83%,no framework test,GNU General Public License v3.0,Yes
svelte,72.08%,no framework test,MIT License,Yes
turbo,99.96%,no framework test,MIT License,Yes
cat-catch,83.28%,no framework test,GNU General Public License v3.0,Yes
postcss-cssnext,71.33%,no framework test,MIT License,Yes
umd,100.00%,no framework test,MIT License,Yes
pell,73.31%,no framework test,MIT License,Yes
crossfilter,92.64%,no framework test,Other,No
fontmin,92.84%,mocha,MIT License,Yes
react-redux-universal-hot-example,86.00%,mocha,MIT License,Yes
istanbul,97.90%,no framework test,Other,No
thief,68.68%,no framework test,GNU General Public License v3.0,Yes
rickshaw,88.66%,jest,MIT License,Yes
backbone,56.34%,no framework test,MIT License,Yes
awesome-blockchain-cn,100.00%,no framework test,Apache License 2.0,Yes
lebab,100.00%,mocha,MIT License,Yes
fantasy-land,68.64%,no framework test,MIT License,Yes
nn-svg,58.42%,no framework test,MIT License,Yes
parallax,100.00%,no framework test,Other,No
npm-check,100.00%,no framework test,MIT License,Yes
esm,99.87%,jest,Other,No
react-in-patterns,95.26%,no framework test,MIT License,Yes
clsx,97.50%,no framework test,MIT License,Yes
cash,59.30%,no framework test,MIT License,Yes
magnific-popup,67.88%,no framework test,MIT License,Yes
traceur-compiler,98.98%,mocha,Apache License 2.0,Yes
awesome-guidelines,100.00%,no framework test,Creative Commons Zero v1.0 Universal,Yes
pixelmatch,100.00%,no framework test,ISC License,Yes
project-guidelines,100.00%,no framework test,MIT License,Yes
js-cookie,95.15%,no framework test,MIT License,Yes
grunt,100.00%,no framework test,Other,No
webgl-fluid-simulation,88.50%,no framework test,MIT License,Yes
jsfuck,72.55%,no framework test,Do What The F*ck You Want To Public License,Yes
