"file","type","smells","itCount","describeCount"
"__tests__/internal/unit/server-test.js","IdenticalTestDescription","[{""startLine"":54,""endLine"":62}]",62,8
"__tests__/internal/unit/server-test.js","IdenticalTestDescription","[{""startLine"":64,""endLine"":75}]",62,8
"__tests__/internal/unit/factory-test.js","AnonymousTest","[{""startLine"":5,""endLine"":7}]",17,1
"__tests__/internal/unit/db-test.js","IdenticalTestDescription","[{""startLine"":324,""endLine"":332}]",57,12
"__tests__/internal/move-after-handle-request/resource-shorthand-test.js","VerboseStatement","[{""startLine"":157,""endLine"":207}]",13,1
"__tests__/internal/move-after-handle-request/full-request-test.js","AnonymousTest","[{""startLine"":74,""endLine"":87}]",4,1
"__tests__/external/shared/fixtures-and-factories-test.js","GeneralFixture","[{""startLine"":7,""endLine"":19}]",0,1
"__tests__/external/shared/fixtures-and-factories-test.js","NonFunctionalStatement","[{""startLine"":15,""endLine"":15}]",0,1
"__tests__/external/browser-only/passthrough-test.js","GeneralFixture","[{""startLine"":18,""endLine"":18}]",11,1
"__tests__/external/browser-only/passthrough-test.js","NonFunctionalStatement","[{""startLine"":19,""endLine"":19}]",11,1
"__tests__/internal/unit/serializers/rest-serializer-test.js","GeneralFixture","[{""startLine"":7,""endLine"":9}]",4,1
"__tests__/internal/unit/serializers/active-model-serializer-test.js","AnonymousTest","[{""startLine"":27,""endLine"":45}]",9,1
"__tests__/internal/unit/serializers/active-model-serializer-test.js","GeneralFixture","[{""startLine"":14,""endLine"":21}]",9,1
"__tests__/internal/move-after-handle-request/route-handlers/put-shorthand-test.js","GeneralFixture","[{""startLine"":8,""endLine"":13}]",4,1
"__tests__/internal/move-after-handle-request/route-handlers/put-shorthand-test.js","SubOptimalAssert","[{""startLine"":56,""endLine"":56}]",4,1
"__tests__/internal/move-after-handle-request/route-handlers/put-shorthand-test.js","SubOptimalAssert","[{""startLine"":73,""endLine"":73}]",4,1
