file,type,smells,itCount,describeCount
vanilla-lazyload/tests/unit/restore.test.js,NonFunctionalStatement,"[{""startLine"":337,""endLine"":338}]",29,6
vanilla-lazyload/tests/unit/cancelOnExit.test.js,SubOptimalAssert,"[{""startLine"":91,""endLine"":91}]",8,2
Play_Canvas/tests/platform/net/test_http.js,ConditionalTestLogic,"[{""startLine"":34,""endLine"":38}]",1,1
Play_Canvas/tests/framework/bundles/test_bundle_loader.js,ConditionalTestLogic,"[{""startLine"":173,""endLine"":175}]",9,1
Play_Canvas/tests/framework/bundles/test_bundle_loader.js,ConditionalTestLogic,"[{""startLine"":177,""endLine"":179}]",9,1
Play_Canvas/tests/framework/bundles/test_bundle_loader.js,ConditionalTestLogic,"[{""startLine"":181,""endLine"":183}]",9,1
Play_Canvas/tests/framework/bundles/test_bundle_loader.js,ConditionalTestLogic,"[{""startLine"":185,""endLine"":187}]",9,1
Play_Canvas/tests/framework/bundles/test_bundle_loader.js,SubOptimalAssert,"[{""startLine"":147,""endLine"":147}]",9,1
Play_Canvas/tests/framework/bundles/test_bundle_loader.js,SubOptimalAssert,"[{""startLine"":178,""endLine"":178}]",9,1
Play_Canvas/tests/framework/bundles/test_bundle_loader.js,SubOptimalAssert,"[{""startLine"":326,""endLine"":326}]",9,1
Play_Canvas/tests/framework/components/script/test_script_component.js,OvercommentedTest,"[{""startLine"":2155,""endLine"":2196}]",84,1
Play_Canvas/tests/framework/components/script/test_script_component.js,OvercommentedTest,"[{""startLine"":2647,""endLine"":2739}]",84,1
Play_Canvas/tests/framework/components/script/test_script_component.js,OvercommentedTest,"[{""startLine"":3033,""endLine"":3086}]",84,1
Play_Canvas/tests/framework/components/script/test_script_component.js,NonFunctionalStatement,"[{""startLine"":3265,""endLine"":3266}]",84,1
Play_Canvas/tests/framework/components/script/test_script_component.js,SubOptimalAssert,"[{""startLine"":1220,""endLine"":1220}]",84,1
Play_Canvas/tests/framework/components/element/test_textelement.js,OvercommentedTest,"[{""startLine"":279,""endLine"":313}]",88,1
Play_Canvas/tests/framework/components/element/test_textelement.js,OvercommentedTest,"[{""startLine"":315,""endLine"":355}]",88,1
