file,type,smells,frame
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 59, 'column': 6, 'index': 1898}","  57 |
  58 |       expect(element.classList.length, 'element - tether classes added').toEqual(12);
> 59 |       expect(element).toHaveClass('tether-element');
     |      ^ Duplicate Assert
  60 |       expect(element).not.toHaveClass('tether-target');
  61 |
  62 |       expect(target.classList.length, 'target - tether classes added').toEqual(12);"
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 60, 'column': 6, 'index': 1951}","  58 |       expect(element.classList.length, 'element - tether classes added').toEqual(12);
  59 |       expect(element).toHaveClass('tether-element');
> 60 |       expect(element).not.toHaveClass('tether-target');
     |      ^ Duplicate Assert
  61 |
  62 |       expect(target.classList.length, 'target - tether classes added').toEqual(12);
  63 |       expect(target).toHaveClass('tether-target');"
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 63, 'column': 6, 'index': 2092}","  61 |
  62 |       expect(target.classList.length, 'target - tether classes added').toEqual(12);
> 63 |       expect(target).toHaveClass('tether-target');
     |      ^ Duplicate Assert
  64 |       expect(target).not.toHaveClass('tether-element');
  65 |
  66 |       tether.destroy();"
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 64, 'column': 6, 'index': 2143}","  62 |       expect(target.classList.length, 'target - tether classes added').toEqual(12);
  63 |       expect(target).toHaveClass('tether-target');
> 64 |       expect(target).not.toHaveClass('tether-element');
     |      ^ Duplicate Assert
  65 |
  66 |       tether.destroy();
  67 |"
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 86, 'column': 6, 'index': 2969}","  84 |
  85 |       expect(element.classList.length, 'element - foo classes added').toEqual(12);
> 86 |       expect(element).toHaveClass('foo-element');
     |      ^ Duplicate Assert
  87 |       expect(element).not.toHaveClass('foo-target');
  88 |
  89 |       expect(target.classList.length, 'target - foo classes added').toEqual(12);"
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Magic Number,"{'line': 24, 'column': 75, 'index': 664}","  22 |   describe('destroy()', () => {
  23 |     it('removes classes on destroy', () => {
