file,type,smells,frame
/home/gabriel/Desktop/research/projects/transformers.js/tests/models/audio_spectrogram_transformer/test_feature_extraction_audio_spectrogram_transformer.js,Magic Number,"{'line': 40, 'column': 55, 'index': 1597}","  38 |         expect(input_values.dims).toEqual([1, 1024, 128]); // [1, 4, 128] -> (padded to) -> [1, 1024, 128]
  39 |
> 40 |         expect(input_values.mean().item()).toBeCloseTo(0.4647964835166931);
     |                                                       ^ Magic Number
  41 |         expect(input_values.data[0]).toBeCloseTo(-0.5662586092948914);
  42 |         expect(input_values.data[1]).toBeCloseTo(-1.0300861597061157);
  43 |         expect(input_values.data[129]).toBeCloseTo(-1.084834098815918);"
/home/gabriel/Desktop/research/projects/transformers.js/tests/models/audio_spectrogram_transformer/test_feature_extraction_audio_spectrogram_transformer.js,Magic Number,"{'line': 46, 'column': 52, 'index': 1910}","  44 |
  45 |         // padded values
> 46 |         expect(input_values.data[1025]).toBeCloseTo(0.46703237295150757);
     |                                                    ^ Magic Number
  47 |         expect(input_values.data[2049]).toBeCloseTo(0.46703237295150757);
  48 |         expect(input_values.data[10000]).toBeCloseTo(0.46703237295150757);
  49 |       },"
/home/gabriel/Desktop/research/projects/transformers.js/tests/models/audio_spectrogram_transformer/test_feature_extraction_audio_spectrogram_transformer.js,Magic Number,"{'line': 47, 'column': 52, 'index': 1984}","  45 |         // padded values
  46 |         expect(input_values.data[1025]).toBeCloseTo(0.46703237295150757);
> 47 |         expect(input_values.data[2049]).toBeCloseTo(0.46703237295150757);
     |                                                    ^ Magic Number
  48 |         expect(input_values.data[10000]).toBeCloseTo(0.46703237295150757);
  49 |       },
  50 |       MAX_TEST_EXECUTION_TIME,"
/home/gabriel/Desktop/research/projects/transformers.js/tests/models/audio_spectrogram_transformer/test_feature_extraction_audio_spectrogram_transformer.js,Magic Number,"{'line': 48, 'column': 53, 'index': 2059}","  46 |         expect(input_values.data[1025]).toBeCloseTo(0.46703237295150757);
  47 |         expect(input_values.data[2049]).toBeCloseTo(0.46703237295150757);
> 48 |         expect(input_values.data[10000]).toBeCloseTo(0.46703237295150757);
     |                                                     ^ Magic Number
  49 |       },
  50 |       MAX_TEST_EXECUTION_TIME,
  51 |     );"
/home/gabriel/Desktop/research/projects/transformers.js/tests/models/beit/test_image_processing_beit.js,Magic Number,"{'line': 23, 'column': 77, 'index': 889}","  21 |
  22 |         expect(pixel_values.dims).toEqual([1, 3, 224, 224]);
> 23 |         expect(pixel_values.mean().item()).toBeCloseTo(-0.22706867939852762, 6);
     |                                                                             ^ Magic Number
  24 |
  25 |         expect(original_sizes).toEqual([[408, 612]]);
  26 |         expect(reshaped_input_sizes).toEqual([[224, 224]]);"
/home/gabriel/Desktop/research/projects/transformers.js/tests/models/florence2/test_modeling_florence2.js,Duplicate Assert,"{'line': 44, 'column': 10, 'index': 1593}","  42 |           const text_inputs = processor.tokenizer(texts[0]);
  43 |           const generate_ids = await model.generate({ ...text_inputs, max_new_tokens: 10 });
> 44 |           expect(generate_ids.tolist()).toEqual([[2n, 0n, 0n, 0n, 1n, 0n, 0n, 2n]]);
     |          ^ Duplicate Assert
  45 |         }
  46 |         {
  47 |           const inputs = await processor(image, texts[0]);"
/home/gabriel/Desktop/research/projects/transformers.js/tests/models/florence2/test_modeling_florence2.js,Duplicate Assert,"{'line': 49, 'column': 10, 'index': 1845}","  47 |           const inputs = await processor(image, texts[0]);
  48 |           const generate_ids = await model.generate({ ...inputs, max_new_tokens: 10 });
