file,type,smells,frame,itCount,describeCount
/home/gabriel/Desktop/research/projects/ncc/test/watcher.test.js,Conditional Test Logic,"{'line': 33, 'column': 4, 'index': 1021}","  31 |   
  32 |   triggerChanges (changed, removed) {
> 33 |     if (!this.paused) {
     |    ^ Conditional Test Logic
  34 |       const newTime = +Date.now();
  35 |       for (const file of changed)
  36 |         this.timestamps.set(file, {",,
/home/gabriel/Desktop/research/projects/ncc/test/watcher.test.js,Conditional Test Logic,"{'line': 35, 'column': 6, 'index': 1082}","  33 |     if (!this.paused) {
  34 |       const newTime = +Date.now();
> 35 |       for (const file of changed)
     |      ^ Conditional Test Logic
  36 |         this.timestamps.set(file, {
  37 |           safeTime: newTime + 10,
  38 |           accuracy: 10,",,
/home/gabriel/Desktop/research/projects/ncc/test/watcher.test.js,Conditional Test Logic,"{'line': 41, 'column': 6, 'index': 1251}","  39 |           timestamp: newTime
  40 |         });
> 41 |       for (const file of removed)
     |      ^ Conditional Test Logic
  42 |         this.timestamps.set(file, null);
  43 |
  44 |       for (const file of changed) {",,
/home/gabriel/Desktop/research/projects/ncc/test/watcher.test.js,Conditional Test Logic,"{'line': 44, 'column': 6, 'index': 1327}","  42 |         this.timestamps.set(file, null);
  43 |
> 44 |       for (const file of changed) {
     |      ^ Conditional Test Logic
  45 |         this.changes.add(file);
  46 |         this.inputFileSystem.purge(file);
  47 |       }",,
/home/gabriel/Desktop/research/projects/ncc/test/watcher.test.js,Conditional Test Logic,"{'line': 48, 'column': 6, 'index': 1445}","  46 |         this.inputFileSystem.purge(file);
  47 |       }
> 48 |       for (const file of removed) {
     |      ^ Conditional Test Logic
  49 |         this.removals.add(file);
  50 |         this.inputFileSystem.purge(file);
  51 |       }",,
/home/gabriel/Desktop/research/projects/ncc/test/watcher.test.js,Conditional Test Logic,"{'line': 76, 'column': 4, 'index': 2127}","  74 |     // empty object indicates ""unknown"" timestamp
  75 |     // (that is, not cached)
> 76 |     for (const item of files)
     |    ^ Conditional Test Logic
  77 |       this.timestamps.set(item, {});
  78 |     for (const item of dirs)
  79 |       this.timestamps.set(item, {});",,
/home/gabriel/Desktop/research/projects/ncc/test/watcher.test.js,Conditional Test Logic,"{'line': 78, 'column': 4, 'index': 2194}","  76 |     for (const item of files)
  77 |       this.timestamps.set(item, {});
> 78 |     for (const item of dirs)
     |    ^ Conditional Test Logic
  79 |       this.timestamps.set(item, {});
  80 |     // null represents ""no file""
  81 |     for (const item of missing)",,
/home/gabriel/Desktop/research/projects/ncc/test/watcher.test.js,Conditional Test Logic,"{'line': 81, 'column': 4, 'index': 2293}","  79 |       this.timestamps.set(item, {});
  80 |     // null represents ""no file""
> 81 |     for (const item of missing)
     |    ^ Conditional Test Logic
  82 |       this.timestamps.set(item, null);
  83 |
  84 |     this.paused = false;",,
/home/gabriel/Desktop/research/projects/ncc/test/watcher.test.js,Conditional Test Logic,"{'line': 120, 'column': 6, 'index': 3379}","  118 |     const watcher = new CustomWatchFileSystem(function watchStart (files, dirs, missing) {
  119 |       expect(files._set.size).toBeGreaterThan(100);
> 120 |       if (buildCnt < 3) {
      |      ^ Conditional Test Logic
  121 |         setTimeout(() => {
  122 |           // NOTE: We actually have to make the change for the rebuild to happen!
  123 |           fs.writeFileSync(buildFile, fs.readFileSync(buildFile).toString() + '\n');",,
/home/gabriel/Desktop/research/projects/ncc/test/watcher.test.js,Conditional Test Logic,"{'line': 138, 'column': 6, 'index': 3939}","  136 |     
  137 |     handler(({ err, code, map, assets, permissions }) => {
