file,type,smells,frame,itCount,describeCount
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/unit.js,Ignored Test,"{'line': 175, 'column': 9, 'index': 5830}","  173 | }
  174 |
> 175 | describe.skip('forwardResponse: content-type encoding', () => {
      |         ^ Ignored Test
  176 |   test('content-type header missing', async (done) => {
  177 |     const binaryMimeTypes = []
  178 |     const multiValueHeaders = { foo: ['bar'] }",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/unit.js,Lazy Test,"{'line': 303, 'column': 32, 'index': 10118}","  301 |       (resolve, reject) => {
  302 |         const context = new MockContext(resolve, reject)
> 303 |         const contextResolver = makeResolver({
      |                                ^ Lazy Test
  304 |           context,
  305 |           resolutionMode: 'CONTEXT'
  306 |         })",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/unit.js,Lazy Test,"{'line': 316, 'column': 29, 'index': 10468}","  314 |   test('CALLBACK', () => {
  315 |     const callback = (e, response) => response
> 316 |     const callbackResolver = makeResolver({
      |                             ^ Lazy Test
  317 |       callback,
  318 |       resolutionMode: 'CALLBACK',
  319 |       context: {}",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/unit.js,Lazy Test,"{'line': 334, 'column': 30, 'index': 10866}","  332 |         reject
  333 |       }
> 334 |       const promiseResolver = makeResolver({
      |                              ^ Lazy Test
  335 |         promise,
  336 |         resolutionMode: 'PROMISE'
  337 |       })",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/integration.js,Conditional Test Logic,"{'line': 275, 'column': 4, 'index': 8444}","  273 |     }
  274 |
> 275 |     switch (eventSourceName) {
      |    ^ Conditional Test Logic
  276 |       case 'alb':
  277 |       case 'apiGatewayV1':
  278 |         validateHeaders(response.multiValueHeaders, 'etag', 'last-modified')",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/integration.js,Conditional Test Logic,"{'line': 470, 'column': 4, 'index': 14350}","  468 |     jest.useRealTimers()
  469 |
> 470 |     switch (eventSourceName) {
      |    ^ Conditional Test Logic
  471 |       case 'azureHttpFunctionV4':
  472 |       case 'azureHttpFunctionV3':
  473 |         expectedResponse.cookies = [",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/integration.js,Conditional Test Logic,"{'line': 514, 'column': 6, 'index': 15308}","  512 |       ]
  513 |
> 514 |       for (const method of mockMethods) { mocks.push(jest.spyOn(global.console, method).mockImplementation()) }
      |      ^ Conditional Test Logic
  515 |     })
  516 |
  517 |     afterEach(() => {",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/integration.js,Conditional Test Logic,"{'line': 518, 'column': 6, 'index': 15450}","  516 |
  517 |     afterEach(() => {
> 518 |       for (const mock of mocks) mock.mockRestore()
      |      ^ Conditional Test Logic
  519 |     })
  520 |
  521 |     test('custom logger', async () => {",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 564, 'column': 6, 'index': 16836}","  562 |       loggerError.debug('nocall')
  563 |       loggerError.verbose('nocall')
> 564 |       expect(global.console.warn).not.toHaveBeenCalled()
      |      ^ Duplicate Assert
  565 |       expect(global.console.debug).not.toHaveBeenCalled()
  566 |       expect(global.console.info).not.toHaveBeenCalled()
  567 |       expect(global.console.error).toHaveBeenLastCalledWith({",,
/home/gabriel/Desktop/research/projects/serverless-express/__tests__/integration.js,Duplicate Assert,"{'line': 565, 'column': 6, 'index': 16893}","  563 |       loggerError.verbose('nocall')
