file,type,smells,frame,itCount,describeCount
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/set.test.js,Duplicate Assert,"{'line': 63, 'column': 4, 'index': 1766}","  61 |     img.setAttribute(""data-srcset"", url400);
  62 |     setSources(img, settings, instance);
> 63 |     expect(img).toHaveAttribute(""src"", url200);
     |    ^ Duplicate Assert
  64 |     expect(img).toHaveAttribute(""srcset"", url400);
  65 |   });
  66 |",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/set.test.js,Duplicate Assert,"{'line': 64, 'column': 4, 'index': 1814}","  62 |     setSources(img, settings, instance);
  63 |     expect(img).toHaveAttribute(""src"", url200);
> 64 |     expect(img).toHaveAttribute(""srcset"", url400);
     |    ^ Duplicate Assert
  65 |   });
  66 |
  67 |   test(""with initial values in src and srcset"", () => {",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/set.test.js,Duplicate Assert,"{'line': 73, 'column': 4, 'index': 2129}","  71 |     img.setAttribute(""srcset"", url1);
  72 |     setSources(img, settings, instance);
> 73 |     expect(img).toHaveAttribute(""src"", url200);
     |    ^ Duplicate Assert
  74 |     expect(img).toHaveAttribute(""srcset"", url400);
  75 |   });
  76 |   test(""with initial values in src and srcset and empty data-*"", () => {",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/set.test.js,Duplicate Assert,"{'line': 74, 'column': 4, 'index': 2177}","  72 |     setSources(img, settings, instance);
  73 |     expect(img).toHaveAttribute(""src"", url200);
> 74 |     expect(img).toHaveAttribute(""srcset"", url400);
     |    ^ Duplicate Assert
  75 |   });
  76 |   test(""with initial values in src and srcset and empty data-*"", () => {
  77 |     img.setAttribute(""data-src"", """");",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/set.test.js,Duplicate Assert,"{'line': 82, 'column': 4, 'index': 2504}","  80 |     img.setAttribute(""srcset"", url400);
  81 |     setSources(img, settings, instance);
> 82 |     expect(img).toHaveAttribute(""src"", url200);
     |    ^ Duplicate Assert
  83 |     expect(img).toHaveAttribute(""srcset"", url400);
  84 |   });
  85 | });",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/set.test.js,Duplicate Assert,"{'line': 83, 'column': 4, 'index': 2552}","  81 |     setSources(img, settings, instance);
  82 |     expect(img).toHaveAttribute(""src"", url200);
> 83 |     expect(img).toHaveAttribute(""srcset"", url400);
     |    ^ Duplicate Assert
  84 |   });
  85 | });
  86 |",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/set.test.js,Global Variable,"{'line': 11, 'column': 0, 'index': 415}","   9 | expectExtend(expect);
  10 |
> 11 | var outerDiv, settings, instance;
  12 |
  13 | beforeEach(() => {
  14 |   outerDiv = document.createElement(""div"");",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/set.test.js,Magic Number,"{'line': 40, 'column': 42, 'index': 1265}","  38 |     const mockInstance = {};
  39 |     setToLoadCount(mockInstance, 10);
> 40 |     expect(mockInstance.toLoadCount).toBe(10);
     |                                          ^ Magic Number
  41 |   });
  42 | })
  43 |",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 46, 'column': 4, 'index': 1088}","  44 |   test(""when load hasn't been called on the element"", () => {
  45 |     restore(img);
> 46 |     expect(img).not.toHaveAttribute(""src"");
     |    ^ Duplicate Assert
  47 |     expect(img).not.toHaveAttribute(""srcset"");
  48 |     expect(img).not.toHaveAttribute(""sizes"");
  49 |   });",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 47, 'column': 4, 'index': 1132}","  45 |     restore(img);
  46 |     expect(img).not.toHaveAttribute(""src"");
> 47 |     expect(img).not.toHaveAttribute(""srcset"");
     |    ^ Duplicate Assert
  48 |     expect(img).not.toHaveAttribute(""sizes"");
  49 |   });
  50 |",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 48, 'column': 4, 'index': 1179}","  46 |     expect(img).not.toHaveAttribute(""src"");
  47 |     expect(img).not.toHaveAttribute(""srcset"");
> 48 |     expect(img).not.toHaveAttribute(""sizes"");
     |    ^ Duplicate Assert
  49 |   });
  50 |
  51 |   test(""with initially empty src and srcset"", () => {",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 57, 'column': 4, 'index': 1481}","  55 |     load(img, settings, instance);
  56 |     restore(img, settings);
> 57 |     expect(img).not.toHaveAttribute(""src"");
     |    ^ Duplicate Assert
  58 |     expect(img).not.toHaveAttribute(""srcset"");
  59 |     expect(img).not.toHaveAttribute(""sizes"");
  60 |   });",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 58, 'column': 4, 'index': 1525}","  56 |     restore(img, settings);
  57 |     expect(img).not.toHaveAttribute(""src"");
> 58 |     expect(img).not.toHaveAttribute(""srcset"");
     |    ^ Duplicate Assert
  59 |     expect(img).not.toHaveAttribute(""sizes"");
  60 |   });
  61 |",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 59, 'column': 4, 'index': 1572}","  57 |     expect(img).not.toHaveAttribute(""src"");
  58 |     expect(img).not.toHaveAttribute(""srcset"");
> 59 |     expect(img).not.toHaveAttribute(""sizes"");
     |    ^ Duplicate Assert
  60 |   });
  61 |
  62 |   test(""with initial values in src and srcset"", () => {",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 69, 'column': 4, 'index': 1904}","  67 |     load(img, settings, instance);
  68 |     restore(img, settings);
> 69 |     expect(img).toHaveAttributeValue(""src"", url1);
     |    ^ Duplicate Assert
  70 |     expect(img).toHaveAttributeValue(""srcset"", url2);
  71 |   });
  72 |",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 70, 'column': 4, 'index': 1955}","  68 |     restore(img, settings);
  69 |     expect(img).toHaveAttributeValue(""src"", url1);
> 70 |     expect(img).toHaveAttributeValue(""srcset"", url2);
     |    ^ Duplicate Assert
  71 |   });
  72 |
  73 |   test(""with initial values in src and srcset and empty data-*"", () => {",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 80, 'column': 4, 'index': 2308}","  78 |     load(img, settings, instance);
  79 |     restore(img, settings);
> 80 |     expect(img).toHaveAttributeValue(""src"", url200);
     |    ^ Duplicate Assert
  81 |     expect(img).toHaveAttributeValue(""srcset"", url400);
  82 |   });
  83 |",,
