file,type,smells,frame,itCount,describeCount
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 64, 'column': 6, 'index': 2074}","  62 |       const tetherClassCount = 12;
  63 |       expect(element.classList.length, 'element - tether classes added').toEqual(tetherClassCount);
> 64 |       expect(element).toHaveClass('tether-element');
     |      ^ Duplicate Assert
  65 |       expect(element).not.toHaveClass('tether-target');
  66 |
  67 |       expect(target.classList.length, 'target - tether classes added').toEqual(tetherClassCount); ",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 65, 'column': 6, 'index': 2127}","  63 |       expect(element.classList.length, 'element - tether classes added').toEqual(tetherClassCount);
  64 |       expect(element).toHaveClass('tether-element');
> 65 |       expect(element).not.toHaveClass('tether-target');
     |      ^ Duplicate Assert
  66 |
  67 |       expect(target.classList.length, 'target - tether classes added').toEqual(tetherClassCount); 
  68 |       expect(target).toHaveClass('tether-target');",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 68, 'column': 6, 'index': 2283}","  66 |
  67 |       expect(target.classList.length, 'target - tether classes added').toEqual(tetherClassCount); 
> 68 |       expect(target).toHaveClass('tether-target');
     |      ^ Duplicate Assert
  69 |       expect(target).not.toHaveClass('tether-element');
  70 |
  71 |       tether.destroy();",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 69, 'column': 6, 'index': 2334}","  67 |       expect(target.classList.length, 'target - tether classes added').toEqual(tetherClassCount); 
  68 |       expect(target).toHaveClass('tether-target');
> 69 |       expect(target).not.toHaveClass('tether-element');
     |      ^ Duplicate Assert
  70 |
  71 |       tether.destroy();
  72 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 92, 'column': 6, 'index': 3222}","  90 |
  91 |       expect(element.classList.length, 'element - foo classes added').toEqual(12);
> 92 |       expect(element).toHaveClass('foo-element');
     |      ^ Duplicate Assert
  93 |       expect(element).not.toHaveClass('foo-target');
  94 |
  95 |       expect(target.classList.length, 'target - foo classes added').toEqual(12);",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 93, 'column': 6, 'index': 3272}","  91 |       expect(element.classList.length, 'element - foo classes added').toEqual(12);
  92 |       expect(element).toHaveClass('foo-element');
> 93 |       expect(element).not.toHaveClass('foo-target');
     |      ^ Duplicate Assert
  94 |
  95 |       expect(target.classList.length, 'target - foo classes added').toEqual(12);
  96 |       expect(target).toHaveClass('foo-target');",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 96, 'column': 6, 'index': 3407}","  94 |
  95 |       expect(target.classList.length, 'target - foo classes added').toEqual(12);
> 96 |       expect(target).toHaveClass('foo-target');
     |      ^ Duplicate Assert
  97 |       expect(target).not.toHaveClass('foo-element');
  98 |
  99 |       tether.destroy();",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 97, 'column': 6, 'index': 3455}","   95 |       expect(target.classList.length, 'target - foo classes added').toEqual(12);
   96 |       expect(target).toHaveClass('foo-target');
>  97 |       expect(target).not.toHaveClass('foo-element');
      |      ^ Duplicate Assert
   98 |
   99 |       tether.destroy();
  100 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 122, 'column': 6, 'index': 4334}","  120 |
  121 |       expect(element.classList.length, 'element - custom classes added').toEqual(12);
> 122 |       expect(element).toHaveClass('my-custom-class');
      |      ^ Duplicate Assert
  123 |       expect(element).not.toHaveClass('another-one');
  124 |       expect(element).not.toHaveClass('tether-element');
  125 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 123, 'column': 6, 'index': 4388}","  121 |       expect(element.classList.length, 'element - custom classes added').toEqual(12);
  122 |       expect(element).toHaveClass('my-custom-class');
> 123 |       expect(element).not.toHaveClass('another-one');
      |      ^ Duplicate Assert
  124 |       expect(element).not.toHaveClass('tether-element');
  125 |
  126 |       expect(target.classList.length, 'target - custom classes added').toEqual(12);",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 124, 'column': 6, 'index': 4442}","  122 |       expect(element).toHaveClass('my-custom-class');
  123 |       expect(element).not.toHaveClass('another-one');
> 124 |       expect(element).not.toHaveClass('tether-element');
      |      ^ Duplicate Assert
  125 |
  126 |       expect(target.classList.length, 'target - custom classes added').toEqual(12);
  127 |       expect(target).toHaveClass('another-one');",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 127, 'column': 6, 'index': 4584}","  125 |
  126 |       expect(target.classList.length, 'target - custom classes added').toEqual(12);
> 127 |       expect(target).toHaveClass('another-one');
      |      ^ Duplicate Assert
  128 |       expect(target).not.toHaveClass('my-custom-class');
  129 |       expect(target).not.toHaveClass('tether-target');
  130 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 128, 'column': 6, 'index': 4633}","  126 |       expect(target.classList.length, 'target - custom classes added').toEqual(12);
  127 |       expect(target).toHaveClass('another-one');
> 128 |       expect(target).not.toHaveClass('my-custom-class');
      |      ^ Duplicate Assert
  129 |       expect(target).not.toHaveClass('tether-target');
  130 |
  131 |       tether.destroy();",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 129, 'column': 6, 'index': 4690}","  127 |       expect(target).toHaveClass('another-one');
  128 |       expect(target).not.toHaveClass('my-custom-class');
> 129 |       expect(target).not.toHaveClass('tether-target');
      |      ^ Duplicate Assert
  130 |
  131 |       tether.destroy();
  132 |",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 155, 'column': 6, 'index': 5573}","  153 |
  154 |       expect(element.classList.length, 'element - classes added').toEqual(10);
> 155 |       expect(element).not.toHaveClass('tether-element');
      |      ^ Duplicate Assert
  156 |       expect(element).not.toHaveClass('tether-enabled');
  157 |
  158 |       expect(target.classList.length, 'target - classes added').toEqual(10);",,
/home/gabriel/Desktop/research/projects/tether/test/unit/tether.spec.js,Duplicate Assert,"{'line': 156, 'column': 6, 'index': 5630}","  154 |       expect(element.classList.length, 'element - classes added').toEqual(10);
  155 |       expect(element).not.toHaveClass('tether-element');
> 156 |       expect(element).not.toHaveClass('tether-enabled');
