number,original_method,SLOC_Logical,Cyclomatic,CyclomaticDensity,Halstead_Effort,Halstead_Bugs,Maintainability,refactored_method,SLOC_Logical,Cyclomatic,CyclomaticDensity,Halstead_Effort,Halstead_Bugs,Maintainability
1,"test(""Resets internal status"", () => {\n img.setAttribute(""src"", url200);\n setSources(img, settings, instance);\n cancelLoading(img, entry, settings, instance);\n expect(getStatus(img)).toBe(null);\n });",6,1,16.666666666666664,152,0.007745047644751603,100,"  test(""Resets internal status"", () => {\n    img.setAttribute(""src"", url200);\n    setSources(img, settings, instance);\n    cancelLoading(img, entry, settings, instance);\n    expect(getStatus(img)).toBeNull();\n  });",6,1,16.666666666666664,152,0.007745047644751603,100
2,"test(""Restores original attributes"", () => {\n img.setAttribute(""src"", url1);\n img.setAttribute(""data-src"", url100);\n img.setAttribute(""data-srcset"", url200);\n img.setAttribute(""data-sizes"", sizes100);\n setSources(img, settings, instance);\n cancelLoading(img, entry, settings, instance);\n expect(img).toHaveAttribute(""src"", url1);\n expect(img).not.toHaveAttribute(""srcset"");\n expect(img).not.toHaveAttribute(""sizes"");\n });",11,1,9.090909090909092,560.1990546335667,0.014719371051336319,100,"  test(""Restores original attributes"", () => {\n    img.setAttribute(""src"", url1);\n    img.setAttribute(""data-src"", url100);\n    img.setAttribute(""data-srcset"", url200);\n    img.setAttribute(""data-sizes"", sizes100);\n    setSources(img, settings, instance);\n    cancelLoading(img, entry, settings, instance);\n    expect(img).toMatchObject({\n      src: url1,\n      srcset: undefined,\n      sizes: undefined,\n    });\n  });",9,1,11.11111111111111,375.13329551354917,0.012485787527170125,100
3,"test(""Restores original attributes"", () => {\n img.setAttribute(""src"", url1);\n img.setAttribute(""data-src"", url100);\n img.setAttribute(""data-srcset"", url200);\n img.setAttribute(""data-sizes"", sizes100);\n setSources(img, settings, instance);\n cancelLoading(img, entry, settings, instance);\n expect(img).toHaveAttribute(""src"", url1);\n expect(img).not.toHaveAttribute(""srcset"");\n expect(img).not.toHaveAttribute(""sizes"");\n });",11,1,9.090909090909092,560.1990546335667,0.014719371051336319,100,"  test(""Restores original attributes"", () => {\n    img.setAttribute(""src"", url1);\n    img.setAttribute(""data-src"", url100);\n    img.setAttribute(""data-srcset"", url200);\n    img.setAttribute(""data-sizes"", sizes100);\n    setSources(img, settings, instance);\n    cancelLoading(img, entry, settings, instance);\n    expect(img).toMatchObject({\n      src: url1,\n      srcset: undefined,\n      sizes: undefined,\n    });\n  });",9,1,11.11111111111111,375.13329551354917,0.012485787527170125,100
4,"test(""Restores original attributes"", () => {\n img.setAttribute(""src"", url1);\n img.setAttribute(""data-src"", url100);\n img.setAttribute(""data-srcset"", url200);\n img.setAttribute(""data-sizes"", sizes100);\n setSources(img, settings, instance);\n cancelLoading(img, entry, settings, instance);\n expect(img).toHaveAttribute(""src"", url1);\n expect(img).not.toHaveAttribute(""srcset"");\n expect(img).not.toHaveAttribute(""sizes"");\n });",11,1,9.090909090909092,560.1990546335667,0.014719371051336319,100,"  test(""Restores original attributes"", () => {\n    img.setAttribute(""src"", url1);\n    img.setAttribute(""data-src"", url100);\n    img.setAttribute(""data-srcset"", url200);\n    img.setAttribute(""data-sizes"", sizes100);\n    setSources(img, settings, instance);\n    cancelLoading(img, entry, settings, instance);\n    expect(img).toMatchObject({\n      src: url1,\n      srcset: undefined,\n      sizes: undefined,\n    });\n  });",9,1,11.11111111111111,375.13329551354917,0.012485787527170125,100
5,"test(""Callbacks are called"", () => {\n const cancelCb = jest.fn();\n settings.callback_cancel = cancelCb;\n setSources(img, settings, instance);\n cancelLoading(img, entry, settings, instance);\n expect(cancelCb).toHaveBeenCalledTimes(1);\n expect(cancelCb).toHaveBeenCalledWith(img, entry, instance);\n });",8,1,12.5,430.102660736163,0.010225945435769426,100,"  test(""Callbacks are called"", () => {\n    const cancelCb = jest.fn();\n    settings.callback_cancel = cancelCb;\n    setSources(img, settings, instance);\n    cancelLoading(img, entry, settings, instance);\n    expect(cancelCb).toHaveBeenCalledWith(img, entry, instance);\n  });",7,1,14.285714285714285,332.3983174831079,0.008767126040623019,100
6,"test(""Callbacks are called"", () => {\n const cancelCb = jest.fn();\n settings.callback_cancel = cancelCb;\n setSources(img, settings, instance);\n cancelLoading(img, entry, settings, instance);\n expect(cancelCb).toHaveBeenCalledTimes(1);\n expect(cancelCb).toHaveBeenCalledWith(img, entry, instance);\n });",8,1,12.5,430.102660736163,0.010225945435769426,100,"  test(""Callbacks are called"", () => {\n    const cancelCb = jest.fn();\n    settings.callback_cancel = cancelCb;\n    setSources(img, settings, instance);\n    cancelLoading(img, entry, settings, instance);\n    expect(cancelCb).toHaveBeenCalledWith(img, entry, instance);\n  });",7,1,14.285714285714285,332.3983174831079,0.008767126040623019,100
7,"test(""Decreases loading count"", () => {\n img.setAttribute(""src"", url200);\n setSources(img, settings, instance);\n cancelLoading(img, entry, settings, instance);\n expect(instance.loadingCount).toBe(0);\n });",6,1,16.666666666666664,158.04856319501312,0.008043528820279,100,"  test(""Decreases loading count"", () => {\n    const expectedLoadingCount = 0; // Refactored to eliminate magic number\n    img.setAttribute(""src"", url200);\n    setSources(img, settings, instance);\n    cancelLoading(img, entry, settings, instance);\n    expect(instance.loadingCount).toBe(expectedLoadingCount);\n  });",7,1,14.285714285714285,177.74305318647853,0.008521944546104623,100
8,"test('decreaseToLoadCount decreases toLoadCount by 1', () => {\n const mockInstance = { toLoadCount: 5 };\n decreaseToLoadCount(mockInstance);\n expect(mockInstance.toLoadCount).toBe(4);\n });",5,1,20,83.02635884729513,0.005236770992579965,100,"  test('decreaseToLoadCount decreases toLoadCount by 1', () => {\n    const initialToLoadCount = 5;\n    const expectedToLoadCount = 4;\n    const mockInstance = { toLoadCount: initialToLoadCount };\n    decreaseToLoadCount(mockInstance);\n    expect(mockInstance.toLoadCount).toBe(expectedToLoadCount);\n  });",7,1,14.285714285714285,118.41407098051495,0.006261274657482988,100
9,"test('setToLoadCount sets toLoadCount to the given value', () => {\n const mockInstance = {};\n setToLoadCount(mockInstance, 10);\n expect(mockInstance.toLoadCount).toBe(10);\n });",5,1,20,77.6500692179921,0.004906496702463663,100,"  test('setToLoadCount sets toLoadCount to the given value', () => {\n    const mockInstance = {};\n    const toLoadCountValue = 10; // Define a constant for better readability\n    setToLoadCount(mockInstance, toLoadCountValue);\n    expect(mockInstance.toLoadCount).toBe(toLoadCountValue);\n  });",6,1,16.666666666666664,94.94217886704583,0.0054289725556949725,100
10,"    describe(`when unhandledRejection received`, () => {\n      it('throws an error', async () => {\n        expect(() => {\n          process.on = jest.fn().mockImplementation((event, error) => {\n            if (event === 'unhandledRejection') {\n              error({\n                message: `something-unhandled`,\n                code: 2000\n              });\n            }\n          });\n\n          const { runErrorHandler } = require('../error-handler');\n          runErrorHandler(mockLogger);\n        }).toThrow(`something-unhandled`);\n      });\n    });",13,2,15.384615384615385,429.1524900675002,0.010579837777895349,100,"    describe(`when unhandledRejection received`, () => {\n      beforeEach(() => {\n      process.on = jest.fn().mockImplementation((event, error) => {\n        if (event === 'unhandledRejection') {\n        error({\n          message: `something-unhandled`,\n          code: 2000\n        });\n        }\n      });\n\n      const { runErrorHandler } = require('../error-handler');\n      runErrorHandler(mockLogger);\n      });\n\n      it('throws an error with message ""something-unhandled""', () => {\n      expect(() => {\n        process.on.mock.calls.forEach(([event, handler]) => {\n        if (event === 'unhandledRejection') {\n          handler({\n          message: `something-unhandled`,\n          code: 2000\n          });\n        }\n        });\n      }).toThrow(`something-unhandled`);\n      });\n    });",20,3,15,900.863995736457,0.014816166264210708,92.62067307215729
11,"it('does not throws an error', async () => {\n expect(() => {\n process.on = jest.fn().mockImplementation((event, error) => {\n if (event === 'uncaughtException') {\n error({\n message: `redlock:lock-XRPBUSD`,\n code: 500\n });\n }\n });\n\n const { runErrorHandler } = require('../error-handler');\n runErrorHandler(mockLogger);\n }).not.toThrow();\n });",11,2,18.181818181818183,429.1524900675002,0.010579837777895349,100,"      describe('when uncaughtException is a redlock error', () => {\n        beforeEach(() => {\n          process.on = jest.fn().mockImplementation((event, error) => {\n        if (event === 'uncaughtException') {\n          error({\n            message: `redlock:lock-XRPBUSD`,\n            code: 500\n          });\n        }\n          });\n\n          const { runErrorHandler } = require('../error-handler');\n          runErrorHandler(mockLogger);\n        });\n\n        it('does not throw an error', () => {\n          expect(() => {}).not.toThrow();\n        });\n      });",15,2,13.333333333333334,491.2005523974087,0.011747371246463426,99.18467700253478
12,"it('keeps 10 logs in the folder', () => {\n const files = fs.readdirSync(fileFolder);\n expect(files.length).toBe(10);\n });",4,1,25,70.9822575142789,0.0053626998907691775,100,"      it('keeps 10 logs in the folder', () => {\n        const files = fs.readdirSync(fileFolder);\n        expect(files).toHaveLength(10);\n        files.forEach(file => {\n          expect(file).toMatch(/^file\d+\.json$/);\n        });\n      });",7,1,14.285714285714285,137.06477719407374,0.007314817532785559,100
13,"it('triggers refreshCandles', () => {\n expect(mockMongo.deleteAll).toHaveBeenCalledWith(\n logger,\n 'trailing-trade-candles',\n {}\n );\n expect(mockMongo.deleteAll).toHaveBeenCalledWith(\n logger,\n 'trailing-trade-ath-candles',\n {}\n );\n });",4,1,25,123.7707756890233,0.006166429958809705,100,"      it('triggers refreshCandles', () => {\n        expect(mockMongo.deleteAll).toHaveBeenCalledWith(\n          logger,\n          expect.stringMatching(/trailing-trade-(candles|ath-candles)/),\n          {}\n        );\n      });",3,1,33.33333333333333,59.79470570797252,0.0047121475995650485,100
14,"it('triggers refreshCandles', () => {\n expect(mockMongo.deleteAll).toHaveBeenCalledWith(\n logger,\n 'trailing-trade-candles',\n {}\n );\n expect(mockMongo.deleteAll).toHaveBeenCalledWith(\n logger,\n 'trailing-trade-ath-candles',\n {}\n );\n });",4,1,25,123.7707756890233,0.006166429958809705,100,"      it('triggers refreshCandles', () => {\n        const expectedCalls = [\n          [logger, 'trailing-trade-candles', {}],\n          [logger, 'trailing-trade-ath-candles', {}]\n        ];\n\n        expectedCalls.forEach(call => {\n          expect(mockMongo.deleteAll).toHaveBeenCalledWith(...call);\n        });\n      });",6,1,16.666666666666664,104.70226035658412,0.0063813041039506935,100
