number,original_method,SLOC_Logical,Cyclomatic,CyclomaticDensity,Halstead_Effort,Halstead_Bugs,Maintainability,refactored_method,SLOC_Logical,Cyclomatic,CyclomaticDensity,Halstead_Effort,Halstead_Bugs,Maintainability
1,"test(""Resets internal status"", () => {\n img.setAttribute(""src"", url200);\n setSources(img, settings, instance);\n cancelLoading(img, entry, settings, instance);\n expect(getStatus(img)).toBe(null);\n });",6,1,16.666666666666664,152,0.007745047644751603,100,"  test(""Resets internal status"", () => {\n    img.setAttribute(""src"", url200);\n    setSources(img, settings, instance);\n    cancelLoading(img, entry, settings, instance);\n    // Using more specific assertion to check for null status\n    expect(getStatus(img)).toBeNull();\n  });",6,1,16.666666666666664,152,0.007745047644751603,100
2,"test(""Restores original attributes"", () => {\n img.setAttribute(""src"", url1);\n img.setAttribute(""data-src"", url100);\n img.setAttribute(""data-srcset"", url200);\n img.setAttribute(""data-sizes"", sizes100);\n setSources(img, settings, instance);\n cancelLoading(img, entry, settings, instance);\n expect(img).toHaveAttribute(""src"", url1);\n expect(img).not.toHaveAttribute(""srcset"");\n expect(img).not.toHaveAttribute(""sizes"");\n });",11,1,9.090909090909092,560.1990546335667,0.014719371051336319,100,"  test(""Restores original attributes"", () => {\n    // Setup\n    img.setAttribute(""src"", url1);\n    img.setAttribute(""data-src"", url100);\n    img.setAttribute(""data-srcset"", url200);\n    img.setAttribute(""data-sizes"", sizes100);\n    setSources(img, settings, instance);\n\n    // Act\n    cancelLoading(img, entry, settings, instance);\n\n    // Assert\n    const expectedAttributes = {\n      src: url1,\n      srcset: undefined,\n      sizes: undefined\n    };\n\n    expect(img).toHaveAttribute(""src"", expectedAttributes.src);\n    expect(img).not.toHaveAttribute(""srcset""); \n    expect(img).not.toHaveAttribute(""sizes"");\n  });",12,1,8.333333333333332,714.8585404672912,0.016337526696714903,100
3,"test(""Restores original attributes"", () => {\n img.setAttribute(""src"", url1);\n img.setAttribute(""data-src"", url100);\n img.setAttribute(""data-srcset"", url200);\n img.setAttribute(""data-sizes"", sizes100);\n setSources(img, settings, instance);\n cancelLoading(img, entry, settings, instance);\n expect(img).toHaveAttribute(""src"", url1);\n expect(img).not.toHaveAttribute(""srcset"");\n expect(img).not.toHaveAttribute(""sizes"");\n });",11,1,9.090909090909092,560.1990546335667,0.014719371051336319,100,"  test(""Restores original attributes"", () => {\n    // Setup\n    img.setAttribute(""src"", url1);\n    img.setAttribute(""data-src"", url100);\n    img.setAttribute(""data-srcset"", url200);\n    img.setAttribute(""data-sizes"", sizes100);\n    setSources(img, settings, instance);\n\n    // Act\n    cancelLoading(img, entry, settings, instance);\n\n    // Assert\n    const expectedAttributes = {\n      src: url1,\n      srcset: undefined,\n      sizes: undefined\n    };\n\n    expect(img).toHaveAttribute(""src"", expectedAttributes.src);\n    expect(img).not.toHaveAttribute(""srcset""); \n    expect(img).not.toHaveAttribute(""sizes"");\n  });",12,1,8.333333333333332,714.8585404672912,0.016337526696714903,100
4,"test(""Restores original attributes"", () => {\n img.setAttribute(""src"", url1);\n img.setAttribute(""data-src"", url100);\n img.setAttribute(""data-srcset"", url200);\n img.setAttribute(""data-sizes"", sizes100);\n setSources(img, settings, instance);\n cancelLoading(img, entry, settings, instance);\n expect(img).toHaveAttribute(""src"", url1);\n expect(img).not.toHaveAttribute(""srcset"");\n expect(img).not.toHaveAttribute(""sizes"");\n });",11,1,9.090909090909092,560.1990546335667,0.014719371051336319,100,"  test(""Restores original attributes"", () => {\n    // Setup\n    img.setAttribute(""src"", url1);\n    img.setAttribute(""data-src"", url100);\n    img.setAttribute(""data-srcset"", url200);\n    img.setAttribute(""data-sizes"", sizes100);\n    setSources(img, settings, instance);\n\n    // Act\n    cancelLoading(img, entry, settings, instance);\n\n    // Assert\n    const expectedAttributes = {\n      src: url1,\n      srcset: undefined,\n      sizes: undefined\n    };\n\n    expect(img).toHaveAttribute(""src"", expectedAttributes.src);\n    expect(img).not.toHaveAttribute(""srcset""); \n    expect(img).not.toHaveAttribute(""sizes"");\n  });",12,1,8.333333333333332,714.8585404672912,0.016337526696714903,100
5,"test(""Callbacks are called"", () => {\n const cancelCb = jest.fn();\n settings.callback_cancel = cancelCb;\n setSources(img, settings, instance);\n cancelLoading(img, entry, settings, instance);\n expect(cancelCb).toHaveBeenCalledTimes(1);\n expect(cancelCb).toHaveBeenCalledWith(img, entry, instance);\n });",8,1,12.5,430.102660736163,0.010225945435769426,100,"  test(""Callback is called once with correct parameters"", () => {\n    const cancelCb = jest.fn();\n    settings.callback_cancel = cancelCb;\n    setSources(img, settings, instance);\n    cancelLoading(img, entry, settings, instance);\n    expect(cancelCb).toHaveBeenCalledOnceWith(img, entry, instance);\n  });",7,1,14.285714285714285,332.3983174831079,0.008767126040623019,100
6,"test(""Callbacks are called"", () => {\n const cancelCb = jest.fn();\n settings.callback_cancel = cancelCb;\n setSources(img, settings, instance);\n cancelLoading(img, entry, settings, instance);\n expect(cancelCb).toHaveBeenCalledTimes(1);\n expect(cancelCb).toHaveBeenCalledWith(img, entry, instance);\n });",8,1,12.5,430.102660736163,0.010225945435769426,100,"  test(""Callback is called once with correct parameters"", () => {\n    const cancelCb = jest.fn();\n    settings.callback_cancel = cancelCb;\n    setSources(img, settings, instance);\n    cancelLoading(img, entry, settings, instance);\n    expect(cancelCb).toHaveBeenCalledOnceWith(img, entry, instance);\n  });",7,1,14.285714285714285,332.3983174831079,0.008767126040623019,100
7,"test(""Decreases loading count"", () => {\n img.setAttribute(""src"", url200);\n setSources(img, settings, instance);\n cancelLoading(img, entry, settings, instance);\n expect(instance.loadingCount).toBe(0);\n });",6,1,16.666666666666664,158.04856319501312,0.008043528820279,100,"  test(""Decreases loading count"", () => {\n    // Initial loading count is 1 after setting sources, should be reset to 0 after canceling\n    const EXPECTED_LOADING_COUNT = 0;\n    img.setAttribute(""src"", url200);\n    setSources(img, settings, instance);\n    cancelLoading(img, entry, settings, instance);\n    expect(instance.loadingCount).toBe(EXPECTED_LOADING_COUNT);\n  });",7,1,14.285714285714285,177.74305318647853,0.008521944546104623,100
8,"test('decreaseToLoadCount decreases toLoadCount by 1', () => {\n const mockInstance = { toLoadCount: 5 };\n decreaseToLoadCount(mockInstance);\n expect(mockInstance.toLoadCount).toBe(4);\n });",5,1,20,83.02635884729513,0.005236770992579965,100,"  // Initial count value used for testing counter decrease\n  const INITIAL_COUNT = 5;\n  // Expected count after decrease operation\n  const EXPECTED_COUNT = 4;\n  \n  test('decreaseToLoadCount decreases toLoadCount by 1', () => {\n    const mockInstance = { toLoadCount: INITIAL_COUNT };\n    decreaseToLoadCount(mockInstance);\n    expect(mockInstance.toLoadCount).toBe(EXPECTED_COUNT);\n  });",7,1,14.285714285714285,118.41407098051495,0.006261274657482988,100
9,"test('setToLoadCount sets toLoadCount to the given value', () => {\n const mockInstance = {};\n setToLoadCount(mockInstance, 10);\n expect(mockInstance.toLoadCount).toBe(10);\n });",5,1,20,77.6500692179921,0.004906496702463663,100,"  test('setToLoadCount sets toLoadCount to the given value', () => {\n    // Define a meaningful constant for the test value\n    const EXPECTED_LOAD_COUNT = 10;\n    const mockInstance = {};\n    setToLoadCount(mockInstance, EXPECTED_LOAD_COUNT);\n    expect(mockInstance.toLoadCount).toBe(EXPECTED_LOAD_COUNT);\n  });",6,1,16.666666666666664,94.94217886704583,0.0054289725556949725,100
10,"    describe(`when unhandledRejection received`, () => {\n      it('throws an error', async () => {\n        expect(() => {\n          process.on = jest.fn().mockImplementation((event, error) => {\n            if (event === 'unhandledRejection') {\n              error({\n                message: `something-unhandled`,\n                code: 2000\n              });\n            }\n          });\n\n          const { runErrorHandler } = require('../error-handler');\n          runErrorHandler(mockLogger);\n        }).toThrow(`something-unhandled`);\n      });\n    });",13,2,15.384615384615385,429.1524900675002,0.010579837777895349,100,"    describe(`when unhandledRejection received`, () => {\n      it('throws an error', async () => {\n        expect(() => {\n          process.on = jest.fn().mockImplementation((event, error) => {\n            // Remove conditional and directly call error handler for unhandledRejection\n            error({\n              message: `something-unhandled`, \n              code: 2000\n            });\n          });\n\n          const { runErrorHandler } = require('../error-handler');\n          runErrorHandler(mockLogger);\n        }).toThrow(`something-unhandled`);\n      });\n    });",11,1,9.090909090909092,278.83182962847945,0.0098461568913087,100
