FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/unit/server-test.js,62,3,1505,1387,91,6.561,12.785,83.451,3200835.109,4768,177824.173,264,38355.671,91.07,0,0,4,0,0,0,0,0,0,24,0,2,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/unit/schema-test.js,6,1,83,100,10,10,0.759,20.25,46103.4,374,2561.3,68,2276.711,104.847,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/unit/factory-test.js,17,1,362,389,25,6.427,2.98,41.385,370041.623,1256,20557.868,139,8941.39,93.695,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/unit/db-test.js,57,3,666,838,96,11.456,7.565,61.48,1395244.919,3001,77513.607,189,22694.29,103.122,0,2,23,0,0,0,0,0,0,16,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/unit/collection-test.js,6,2,46,48,9,18.75,0.301,16.907,15261.362,172,847.853,38,902.644,118.451,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/unit/route-handlers/shorthands/base-test.js,7,2,72,82,10,12.195,0.538,15.239,24614.567,282,1367.476,53,1615.274,110.208,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/unit/db/identity-manager-test.js,1,1,86,99,13,13.131,0.624,17.946,33607.766,341,1867.098,45,1872.722,111.238,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/server-config-test.js,13,2,261,248,19,7.661,1.931,30.482,176620.109,884,9812.228,94,5794.257,98.133,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/resource-shorthand-test.js,13,1,337,346,18,5.202,2.934,32.158,283052.874,1270,15725.16,122,8802.036,90.064,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/falsy-responses-test.js,4,1,78,77,12,15.584,0.521,20.475,32017.214,273,1778.734,53,1563.722,113.905,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/customized-normalize-method-test.js,2,1,101,70,7,10,0.527,10.685,16891.393,246,938.411,86,1580.861,107.061,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/custom-responses-test.js,3,1,63,61,10,16.393,0.42,16.738,21091.635,220,1171.758,53,1260.143,115.529,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/shorthands/rest-serializer-sanity-test.js,5,1,134,120,9,7.5,0.973,15.132,44146.748,454,2452.597,86,2917.524,99.974,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/shorthands/post-shorthand-with-relationships-test.js,3,1,162,149,8,5.369,1.166,18.282,63950.826,530,3552.824,97,3497.954,92.889,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/shorthands/patch-shorthand-with-relationships-test.js,4,1,166,150,9,6,1.079,21.359,69110.95,496,3839.497,92,3235.687,94.827,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/shorthands/active-model-serializer-sanity-test.js,5,1,121,107,9,8.411,0.844,15.448,39110.36,404,2172.798,77,2531.782,102.246,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/route-handlers/put-shorthand-test.js,4,2,118,106,9,8.491,0.802,16.664,40115.829,383,2228.657,78,2407.309,102.311,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/route-handlers/post-shorthand-test.js,4,2,90,92,9,9.783,0.698,13.906,29100.021,337,1616.668,74,2092.586,105.704,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/route-handlers/head-shorthand-test.js,8,1,155,142,12,8.451,1.135,21.465,73073.624,534,4059.646,83,3404.271,101.168,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/route-handlers/get-shorthand-test.js,16,1,336,304,26,8.553,2.807,32.034,269719.626,1199,14984.424,130,8419.819,99.54,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/route-handlers/delete-shorthand-test.js,5,2,118,107,10,9.346,0.809,16.257,39455.874,385,2191.993,79,2426.956,104.283,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/route-handlers/function-handler/serialize-test.js,6,1,149,160,17,10.625,1.214,27.811,101318.105,564,5628.784,88,3643.119,104.951,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/route-handlers/function-handler/basic-test.js,5,2,127,119,19,15.966,0.905,20.8,56442.768,418,3135.709,90,2713.595,113.93,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/move-after-handle-request/regressions/many-to-many-bug-test.js,1,2,76,68,5,7.353,0.484,10.952,15895.352,233,883.075,75,1451.315,101.137,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/integration/schema/schema-verification/mixed-test.js,9,1,299,358,13,3.631,2.967,35.968,320103.271,1331,17783.515,103,8899.732,82.706,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/internal/integration/performance/simple-factory-test.js,0,1,61,48,12,25,0.325,15.3,14902.109,160,827.895,68,973.994,120.417,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/identity-manager-test.js,2,1,88,70,11,15.714,0.452,17.481,23679.444,221,1315.525,70,1354.572,112.808,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/server/load-fixtures-test.js,4,1,61,62,9,14.516,0.439,15.583,20529.822,230,1140.546,53,1317.422,113.291,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/serializers/json-api-serializer/associations/model-test.js,0,1,509,415,16,3.855,3.148,59.587,562813.623,1441,31267.423,94,9445.163,79.703,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/serializers/json-api-serializer/associations/collection-test.js,0,1,527,429,13,3.03,3.461,60.395,627166.273,1563,34842.571,100,10384.347,75.825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/where-test.js,3,1,64,69,8,11.594,0.509,21.651,33087.679,262,1838.204,57,1528.217,107.614,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/update-test.js,7,1,178,188,11,5.851,1.407,34.909,147375.005,701,8187.5,65,4221.68,92.516,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/none-test.js,1,1,34,31,5,16.129,0.191,8.171,4694.081,104,260.782,46,574.45,118.034,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/find-test.js,4,1,56,57,9,15.789,0.41,14.651,18041.876,213,1002.326,55,1231.43,115.095,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/find-or-create-by-test.js,2,2,49,54,6,11.111,0.372,13.549,15137.865,196,840.993,52,1117.286,108.615,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/destroy-test.js,2,2,46,46,6,13.043,0.324,11.711,11380.096,174,632.228,48,971.783,112.189,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/create-test.js,4,1,56,69,10,14.493,0.454,17.689,24105.604,244,1339.2,48,1362.731,113.076,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/collection-test.js,6,2,105,122,18,14.754,1.042,28.222,88254.459,499,4903.025,77,3127.126,110.937,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/assertions-test.js,5,1,76,65,15,23.077,0.378,11.341,12866.721,200,714.818,51,1134.485,124.145,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/all-test.js,2,1,45,45,6,13.333,0.316,12.769,12096.229,167,672.013,51,947.295,112.336,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/mixed/3-one-to-many-polymorphic/instantiating-test.js,9,1,88,125,14,11.2,0.927,26.591,73912.374,483,4106.243,54,2779.611,106.219,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/mixed/3-one-to-many-polymorphic/delete-test.js,0,1,26,25,9,36,0.138,10.174,4226.975,81,234.832,35,415.472,128.227,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/mixed/3-one-to-many-polymorphic/create-test.js,3,1,78,121,7,5.785,0.946,29.769,84460.099,508,4692.228,48,2837.161,92.69,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/mixed/3-one-to-many-polymorphic/association-set-test.js,0,1,95,90,19,21.111,0.669,29.464,59120.507,344,3284.473,57,2006.514,111.999,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/mixed/3-one-to-many-polymorphic/association-set-ids-test.js,0,1,61,57,11,19.298,0.41,18.622,22911.31,218,1272.851,50,1230.361,114.077,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/mixed/3-one-to-many-polymorphic/accessor-test.js,0,1,40,35,10,28.571,0.263,14.848,11711.766,142,650.654,47,788.752,121.939,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/mixed/2-many-to-one/create-test.js,4,1,75,97,10,10.309,0.711,23.537,50199.581,376,2788.866,51,2132.832,105.049,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/mixed/2-many-to-one/association-set-test.js,0,1,69,63,14,22.222,0.439,21.091,27798.762,240,1544.376,45,1318.045,109.124,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/mixed/2-many-to-one/association-set-ids-test.js,0,1,56,52,11,21.154,0.373,18.75,20984.69,205,1165.816,44,1119.183,110.682,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/mixed/2-many-to-one/association-new-test.js,0,1,44,42,8,19.048,0.295,18.871,16677.594,160,926.533,46,883.77,112.068,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Desktop/research/projects/miragejs/__tests__/external/shared/orm/mixed/2-many-to-one/association-create-test.js,0,1,36,33,8,24.242,0.222,13.767,9169.297,122,509.405,44,666.051,118.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
