"file","type","smells","itCount","describeCount"
"tests/static/attachUtils.test.js","IdenticalTestDescription","[{""startLine"":88,""endLine"":90}]",17,8
"tests/static/attachUtils.test.js","IdenticalTestDescription","[{""startLine"":92,""endLine"":94}]",17,8
"tests/static/attachUtils.test.js","IdenticalTestDescription","[{""startLine"":140,""endLine"":142}]",17,8
"tests/options/separateDialCode.test.js","IdenticalTestDescription","[{""startLine"":88,""endLine"":90}]",11,7
"tests/options/separateDialCode.test.js","IdenticalTestDescription","[{""startLine"":92,""endLine"":95}]",11,7
"tests/options/separateDialCode.test.js","IdenticalTestDescription","[{""startLine"":112,""endLine"":115}]",11,7
"tests/core/usingInput.test.js","IdenticalTestDescription","[{""startLine"":66,""endLine"":68}]",9,7
"tests/core/usingDropdown.test.js","GeneralFixture","[{""startLine"":40,""endLine"":40}]",11,5
"tests/core/usingDropdown.test.js","GeneralFixture","[{""startLine"":111,""endLine"":111}]",11,5
"tests/core/openCountryDropdownEvent.test.js","GeneralFixture","[{""startLine"":19,""endLine"":19}]",3,1
"tests/core/initialValues.test.js","IdenticalTestDescription","[{""startLine"":57,""endLine"":59}]",12,7
"tests/core/initialValues.test.js","IdenticalTestDescription","[{""startLine"":61,""endLine"":63}]",12,7
"tests/core/initialValues.test.js","IdenticalTestDescription","[{""startLine"":73,""endLine"":75}]",12,7
"tests/core/initialValues.test.js","IdenticalTestDescription","[{""startLine"":78,""endLine"":80}]",12,7
"tests/core/initialValues.test.js","IdenticalTestDescription","[{""startLine"":94,""endLine"":96}]",12,7
"tests/core/initialValues.test.js","IdenticalTestDescription","[{""startLine"":107,""endLine"":109}]",12,7
"tests/core/initialValues.test.js","IdenticalTestDescription","[{""startLine"":111,""endLine"":113}]",12,7
"tests/core/dropdownShortcuts.test.js","IdenticalTestDescription","[{""startLine"":100,""endLine"":104}]",12,4
