"file","type","smells","itCount","describeCount"
"tests/content_scripts/uiframe.test.js","AnonymousTest","[{""startLine"":42,""endLine"":44}]",1,1
"tests/content_scripts/uiframe.test.js","TestWithoutDescription","[{""startLine"":42,""endLine"":44}]",1,1
"tests/content_scripts/markdown.test.js","GeneralFixture","[{""startLine"":38,""endLine"":38}]",3,1
"tests/content_scripts/markdown.test.js","GeneralFixture","[{""startLine"":39,""endLine"":39}]",3,1
"tests/content_scripts/markdown.test.js","GeneralFixture","[{""startLine"":40,""endLine"":40}]",3,1
"tests/content_scripts/markdown.test.js","GeneralFixture","[{""startLine"":41,""endLine"":41}]",3,1
"tests/content_scripts/markdown.test.js","GeneralFixture","[{""startLine"":42,""endLine"":42}]",3,1
"tests/content_scripts/markdown.test.js","GeneralFixture","[{""startLine"":43,""endLine"":43}]",3,1
"tests/content_scripts/markdown.test.js","GeneralFixture","[{""startLine"":44,""endLine"":44}]",3,1
"tests/content_scripts/markdown.test.js","GeneralFixture","[{""startLine"":45,""endLine"":45}]",3,1
"tests/content_scripts/markdown.test.js","GeneralFixture","[{""startLine"":46,""endLine"":46}]",3,1
"tests/content_scripts/markdown.test.js","SubOptimalAssert","[{""startLine"":65,""endLine"":65}]",3,1
"tests/content_scripts/markdown.test.js","SubOptimalAssert","[{""startLine"":88,""endLine"":88}]",3,1
"tests/content_scripts/markdown.test.js","SubOptimalAssert","[{""startLine"":111,""endLine"":111}]",3,1
"tests/content_scripts/markdown.test.js","SubOptimalAssert","[{""startLine"":115,""endLine"":115}]",3,1
"tests/background/start.test.js","AnonymousTest","[{""startLine"":85,""endLine"":91}]",2,1
"tests/background/start.test.js","AnonymousTest","[{""startLine"":93,""endLine"":109}]",2,1
"tests/background/start.test.js","GeneralFixture","[{""startLine"":64,""endLine"":64}]",2,1
"tests/content_scripts/ui/omnibar.test.js","GeneralFixture","[{""startLine"":30,""endLine"":30}]",2,1
"tests/content_scripts/ui/frontend.test.js","AnonymousTest","[{""startLine"":38,""endLine"":47}]",1,1
"tests/content_scripts/ui/frontend.test.js","GeneralFixture","[{""startLine"":27,""endLine"":27}]",1,1
"tests/content_scripts/common/normal.test.js","AnonymousTest","[{""startLine"":25,""endLine"":35}]",4,1
"tests/content_scripts/common/normal.test.js","AnonymousTest","[{""startLine"":37,""endLine"":47}]",4,1
"tests/content_scripts/common/normal.test.js","AnonymousTest","[{""startLine"":49,""endLine"":60}]",4,1
"tests/content_scripts/common/normal.test.js","GeneralFixture","[{""startLine"":19,""endLine"":19}]",4,1
"tests/content_scripts/common/normal.test.js","GeneralFixture","[{""startLine"":21,""endLine"":21}]",4,1
"tests/content_scripts/common/normal.test.js","ConditionalTestLogic","[{""startLine"":29,""endLine"":31}]",4,1
"tests/content_scripts/common/normal.test.js","ConditionalTestLogic","[{""startLine"":66,""endLine"":68}]",4,1
